caseid_new,s2,partner_deceased,respondent_yrsed,partner_yrsed,q23,hhinc,same_sex_couple,s1a,respondent_race,partner_race,age_difference,q21b,ppage,q9,parental_approval,w3_q5,w3_q1,relationship_quality,w2w3_combo_breakup,w3_broke_up,w3_days_elapsed,w3_q10,w3_q10,q32_internet,pppartyid3,q12,papreligion,q7b,ppmarit,w4_attractive,w4_attractive_partner
352336,MISSING,0,16,13,0,112250,1,MISSING,0,0,1,18,33,34,0,MISSING,0,4,0,0,774,MISSING,MISSING,0,1,2,1,10,5,2,2
3063561,MISSING,0,12,12,0,67250,0,MISSING,0,0,5,32,56,61,0,MISSING,0,3,0,0,830,MISSING,MISSING,0,0,0,12,2,0,MISSING,MISSING
4607235,0,0,13,13,0,8750,0,MISSING,0,0,4,22,23,27,0,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,1,12,4,MISSING,MISSING
2824553,MISSING,0,17,14,0,112250,1,MISSING,0,0,15,38,55,40,MISSING,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,2,0,2,MISSING,MISSING
1349311,MISSING,0,16,16,2,200000,0,MISSING,0,0,0,25,31,31,1,MISSING,0,4,0,0,774,MISSING,MISSING,0,0,0,1,1,0,1,0
4581721,MISSING,0,17,13,0,80000,0,MISSING,0,0,1,49,72,71,MISSING,MISSING,0,4,0,0,736,MISSING,MISSING,0,1,1,12,1,0,MISSING,MISSING
103545,0,0,16,13,0,162250,0,MISSING,0,0,2,50,54,52,MISSING,0,MISSING,4,0,0,775,MISSING,MISSING,1,1,0,2,1,4,2,1
4401631,MISSING,0,12,13,0,45000,0,MISSING,0,0,4,42,63,67,MISSING,MISSING,0,2,0,0,810,MISSING,MISSING,0,0,0,1,1,0,MISSING,MISSING
1303571,MISSING,0,17,13,0,80000,0,MISSING,0,0,0,28,57,57,MISSING,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,1,4,1,2,0,MISSING,MISSING
904751,MISSING,0,12,16,2,67250,0,MISSING,0,0,7,53,75,82,MISSING,MISSING,0,4,0,0,845,MISSING,MISSING,0,1,1,2,2,0,1,1
2459583,OTHER,MISSING,13,,MISSING,67250,MISSING,MISSING,0,MISSING,,,58,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,2,MISSING,10,MISSING,2,MISSING,MISSING
4621371,MISSING,0,16,16,0,137250,0,MISSING,0,0,1,24,37,38,1,MISSING,0,4,0,0,747,MISSING,MISSING,0,1,1,4,4,0,2,1
32656,0,0,17,17,2,137250,1,MISSING,0,0,0,38,65,65,MISSING,0,MISSING,4,0,0,853,MISSING,MISSING,0,1,1,12,12,5,MISSING,MISSING
3271461,MISSING,0,12,12,0,45000,0,MISSING,0,0,4,21,46,42,MISSING,MISSING,0,4,0,0,776,MISSING,MISSING,0,1,2,2,2,0,2,2
4428405,OTHER,MISSING,16,12,1,67250,MISSING,MISSING,0,0,15,21,40,55,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,2,1,0,4,MISSING,MISSING
925885,OTHER,MISSING,20,,MISSING,27250,MISSING,MISSING,3,MISSING,,,88,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,7,MISSING,4,MISSING,MISSING
3390511,MISSING,0,16,20,2,67250,0,MISSING,3,0,3,26,51,48,1,MISSING,0,3,0,0,782,MISSING,MISSING,0,1,4,11,12,0,1,1
1061491,MISSING,0,10,12,2,162250,0,MISSING,0,0,7,16,49,56,MISSING,MISSING,0,4,0,0,801,MISSING,MISSING,0,0,0,10,10,0,1,1
3630791,MISSING,0,12,12,2,32250,0,MISSING,0,0,4,21,79,83,MISSING,MISSING,MISSING,3,MISSING,MISSING,,MISSING,MISSING,0,1,2,2,10,0,MISSING,MISSING
2297221,MISSING,0,12,13,0,27250,0,MISSING,5,4,0,19,22,22,1,MISSING,0,4,0,0,794,MISSING,MISSING,0,1,1,10,10,0,2,0
3228645,OTHER,MISSING,16,,MISSING,45000,MISSING,MISSING,0,MISSING,,,64,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,1,MISSING,4,MISSING,MISSING
110316,0,0,17,17,0,67250,1,MISSING,0,5,5,27,31,26,0,0,MISSING,3,0,0,774,MISSING,MISSING,0,1,2,1,2,5,1,1
2618441,MISSING,0,12,16,2,55000,0,MISSING,0,0,16,31,44,60,1,MISSING,0,4,0,0,772,MISSING,MISSING,0,0,1,0,1,0,2,0
481445,0,0,20,14,2,37250,1,MISSING,2,5,10,32,44,34,0,MISSING,MISSING,4,1,MISSING,,MISSING,MISSING,1,1,2,12,12,4,MISSING,MISSING
2528285,OTHER,0,16,16,2,45000,0,MISSING,0,0,1,28,28,29,1,MISSING,MISSING,3,1,MISSING,,MISSING,MISSING,0,1,1,10,10,4,MISSING,MISSING
3353683,OTHER,MISSING,17,,MISSING,67250,MISSING,MISSING,0,MISSING,,,68,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,1,MISSING,2,MISSING,MISSING
983661,MISSING,0,13,14,0,67250,0,MISSING,0,0,10,52,66,56,1,MISSING,0,4,0,0,780,MISSING,MISSING,0,0,0,10,10,0,2,1
4605321,MISSING,0,14,17,0,200000,0,MISSING,5,0,3,19,32,35,MISSING,MISSING,0,3,0,0,878,MISSING,MISSING,0,0,1,12,2,0,1,1
2934316,MISSING,0,13,16,0,17250,0,MISSING,5,0,0,19,31,31,0,MISSING,0,3,0,0,817,MISSING,MISSING,0,1,2,11,11,5,MISSING,MISSING
3840275,OTHER,MISSING,12,,MISSING,80000,MISSING,MISSING,5,MISSING,,,27,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,2,MISSING,4,MISSING,MISSING
1297901,MISSING,0,11,12,0,37250,0,MISSING,0,0,3,20,90,87,MISSING,MISSING,0,4,0,0,774,MISSING,MISSING,0,0,0,1,1,0,MISSING,MISSING
2405331,MISSING,0,16,17,2,67250,0,MISSING,0,0,3,24,33,30,1,MISSING,0,4,0,0,781,MISSING,MISSING,0,0,0,1,1,0,1,0
4148521,MISSING,0,13,16,2,37250,0,MISSING,1,1,4,22,52,56,0,MISSING,MISSING,3,MISSING,MISSING,,MISSING,MISSING,0,1,1,0,0,0,MISSING,MISSING
3072336,0,0,17,17,0,92250,1,MISSING,1,1,1,29,33,32,0,0,MISSING,3,0,0,785,MISSING,MISSING,0,1,1,12,12,5,0,1
490291,MISSING,0,16,14,0,32250,0,MISSING,0,0,2,22,29,31,1,MISSING,0,3,0,0,891,MISSING,MISSING,0,1,1,11,12,0,1,1
4612421,MISSING,0,16,20,2,200000,0,MISSING,0,5,3,22,42,39,1,MISSING,0,4,0,0,771,MISSING,MISSING,0,1,1,4,4,0,0,0
4246265,OTHER,MISSING,17,,MISSING,13750,MISSING,MISSING,0,MISSING,,,26,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,9,MISSING,4,MISSING,MISSING
2733643,0,0,13,20,2,200000,1,MISSING,0,0,16,42,64,48,1,0,MISSING,4,0,0,846,MISSING,MISSING,0,0,0,2,1,2,MISSING,MISSING
1518501,MISSING,0,17,13,1,137250,1,MISSING,0,0,14,35,50,64,0,MISSING,0,4,0,0,787,MISSING,MISSING,0,1,1,4,4,0,1,1
4111331,MISSING,0,16,16,0,80000,0,MISSING,0,0,4,21,33,37,1,MISSING,0,4,0,0,748,MISSING,MISSING,0,1,1,12,12,0,1,1
3064321,MISSING,0,20,14,0,80000,0,MISSING,0,0,2,22,32,34,1,MISSING,0,4,0,0,788,MISSING,MISSING,0,1,2,4,10,0,MISSING,MISSING
3134461,MISSING,0,13,13,1,67250,0,MISSING,1,1,0,20,46,46,1,MISSING,MISSING,3,0,MISSING,,MISSING,MISSING,0,1,1,1,0,0,MISSING,MISSING
896413,0,0,14,12,0,92250,0,MISSING,5,0,5,20,41,36,1,0,MISSING,3,0,0,800,MISSING,MISSING,0,0,4,1,1,2,2,MISSING
3588486,MISSING,0,12,17,2,67250,0,MISSING,5,5,4,30,48,44,1,MISSING,0,3,0,0,810,MISSING,MISSING,0,1,4,2,2,5,MISSING,MISSING
3869391,MISSING,0,12,14,0,80000,0,MISSING,0,0,,25,39,,1,MISSING,0,3,0,0,787,MISSING,MISSING,0,0,0,1,1,0,MISSING,MISSING
2246691,MISSING,0,17,12,0,92250,0,MISSING,0,0,1,22,69,68,MISSING,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,1,12,0,1,1
2350195,0,0,13,13,2,80000,0,MISSING,0,0,3,19,19,22,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,0,4,10,2,4,MISSING,MISSING
4092313,0,0,16,16,0,112250,0,MISSING,0,0,6,31,31,25,0,MISSING,MISSING,3,1,MISSING,,MISSING,MISSING,0,1,1,4,12,2,MISSING,MISSING
1403571,MISSING,0,13,14,0,200000,0,MISSING,5,0,4,20,57,53,MISSING,MISSING,0,4,0,0,759,MISSING,MISSING,0,0,4,2,2,0,0,0
2429371,MISSING,0,12,10,2,27250,0,MISSING,0,0,5,21,37,42,1,MISSING,0,4,0,0,779,MISSING,MISSING,0,0,4,2,12,0,1,0
1956455,OTHER,MISSING,17,,MISSING,27250,MISSING,MISSING,0,MISSING,,,45,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,1,MISSING,4,MISSING,MISSING
4027356,0,0,10,10,2,11250,0,MISSING,0,0,3,16,35,38,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,1,4,0,12,5,MISSING,MISSING
2760553,OTHER,MISSING,13,,MISSING,11250,MISSING,MISSING,0,MISSING,,,55,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,11,MISSING,2,MISSING,MISSING
3223501,MISSING,0,13,12,2,27250,0,MISSING,0,0,2,17,50,52,MISSING,MISSING,MISSING,3,0,MISSING,,MISSING,MISSING,0,0,0,4,4,0,2,2
2190381,MISSING,0,17,17,2,67250,0,MISSING,3,0,7,32,38,31,1,MISSING,0,4,0,0,779,MISSING,MISSING,0,0,1,7,2,0,1,1
2361411,MISSING,0,17,12,1,92250,0,MISSING,0,0,0,34,41,41,1,MISSING,0,4,0,0,900,MISSING,MISSING,1,1,2,1,2,0,1,1
2561493,0,0,12,12,1,32250,0,MISSING,0,0,26,48,49,75,1,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,0,0,2,MISSING,MISSING
720753,OTHER,MISSING,13,,MISSING,27250,MISSING,MISSING,1,MISSING,,,75,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,0,MISSING,2,MISSING,MISSING
3938461,OTHER,MISSING,12,,MISSING,112250,MISSING,MISSING,0,MISSING,,,46,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,1,MISSING,0,MISSING,MISSING
2560812,OTHER,MISSING,16,,MISSING,27250,MISSING,MISSING,0,MISSING,,,81,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,1,MISSING,1,MISSING,MISSING
2453455,MISSING,0,12,17,2,32250,1,MISSING,0,1,2,43,45,43,MISSING,MISSING,0,4,0,0,789,MISSING,MISSING,1,1,1,8,1,4,2,0
1812681,MISSING,0,11,13,2,32250,0,MISSING,5,5,6,19,68,74,MISSING,MISSING,0,4,0,0,773,MISSING,MISSING,0,1,1,MISSING,2,0,2,0
3297341,MISSING,MISSING,12,,MISSING,67250,MISSING,MISSING,5,MISSING,,,34,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,10,MISSING,0,MISSING,MISSING
674385,OTHER,MISSING,13,,MISSING,27250,MISSING,MISSING,0,MISSING,,,38,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,0,MISSING,4,MISSING,MISSING
1836683,0,0,14,7.5,2,6250,0,MISSING,1,1,2,18,68,70,MISSING,MISSING,MISSING,3,0,MISSING,,MISSING,MISSING,0,1,1,1,0,2,MISSING,MISSING
2780461,MISSING,0,12,12,2,55000,0,MISSING,0,0,1,18,46,47,1,MISSING,0,3,0,0,781,MISSING,MISSING,0,1,4,10,1,0,1,1
1582653,OTHER,0,14,16,2,67250,0,MISSING,0,0,13,65,65,78,MISSING,0,MISSING,4,0,0,760,MISSING,MISSING,0,1,1,2,4,2,1,1
3785552,OTHER,MISSING,13,,MISSING,32250,MISSING,MISSING,0,MISSING,,,55,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,1,MISSING,1,MISSING,MISSING
3755675,OTHER,MISSING,16,,MISSING,67250,MISSING,MISSING,0,MISSING,,,67,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,10,MISSING,4,MISSING,MISSING
3990426,0,0,16,17,0,80000,1,MISSING,0,0,21,28,42,63,1,1,MISSING,4,1,1,796,0,0,0,1,0,12,0,5,MISSING,MISSING
524471,MISSING,0,16,16,2,45000,0,MISSING,0,0,0,31,47,47,0,MISSING,0,3,0,0,775,MISSING,MISSING,0,0,2,1,10,0,1,3
4284351,MISSING,0,13,16,0,45000,0,MISSING,0,0,0,26,35,35,1,MISSING,0,4,0,0,757,MISSING,MISSING,0,1,1,12,10,0,1,1
4066436,0,0,13,14,0,92250,0,MISSING,5,5,11,39,43,32,0,1,MISSING,3,1,1,750,1,1,0,0,0,2,2,5,MISSING,MISSING
3806531,MISSING,0,7.5,12,2,27250,0,MISSING,0,0,2,22,53,51,1,MISSING,MISSING,3,0,MISSING,,MISSING,MISSING,0,0,0,8,8,0,0,1
1964531,MISSING,0,12,12,0,92250,0,MISSING,0,0,1,20,53,54,1,MISSING,0,4,0,0,855,MISSING,MISSING,0,0,0,0,0,0,MISSING,MISSING
2448445,OTHER,MISSING,13,,MISSING,92250,MISSING,MISSING,0,MISSING,,,44,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,1,MISSING,4,MISSING,MISSING
309276,0,0,16,13,1,55000,0,MISSING,0,0,8,26,27,35,1,1,MISSING,3,1,1,774,2,2,0,0,2,1,1,5,MISSING,MISSING
1850456,0,0,13,12,2,55000,1,MISSING,0,0,7,41,45,52,MISSING,0,MISSING,4,0,0,797,MISSING,MISSING,0,1,1,12,12,5,MISSING,MISSING
4143305,0,0,12,13,1,37250,1,MISSING,0,0,1,28,30,31,0,0,MISSING,3,0,0,757,MISSING,MISSING,1,1,2,12,12,4,1,MISSING
3220255,OTHER,MISSING,12,,MISSING,45000,MISSING,MISSING,0,MISSING,,,25,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,11,MISSING,4,MISSING,MISSING
1563713,OTHER,0,16,12,2,8750,0,MISSING,0,0,3,70,71,68,MISSING,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,4,11,12,2,MISSING,MISSING
2664241,MISSING,0,13,16,2,55000,0,MISSING,0,0,0,17,24,24,1,MISSING,0,4,0,0,771,MISSING,MISSING,0,0,1,10,1,0,1,1
3851371,MISSING,0,16,17,0,92250,0,MISSING,0,0,0,25,37,37,1,MISSING,0,3,0,0,763,MISSING,MISSING,0,0,1,12,12,0,2,1
4065491,MISSING,0,14,16,0,200000,0,MISSING,0,0,3,25,49,52,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,1,2,10,10,0,MISSING,MISSING
4419613,OTHER,MISSING,12,,MISSING,27250,MISSING,MISSING,0,MISSING,,,61,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,10,MISSING,2,MISSING,MISSING
327685,OTHER,MISSING,17,,MISSING,11250,MISSING,MISSING,0,MISSING,,,68,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,1,MISSING,4,MISSING,MISSING
948531,MISSING,0,12,12,0,67250,0,MISSING,0,0,7,24,53,46,MISSING,MISSING,0,4,0,0,774,MISSING,MISSING,0,0,2,0,0,0,MISSING,MISSING
1969416,0,0,13,13,2,112250,1,MISSING,5,0,6,29,41,35,1,1,MISSING,4,1,1,901,1,1,0,0,0,2,1,5,MISSING,MISSING
543641,MISSING,0,12,13,1,80000,0,MISSING,0,0,2,52,64,62,MISSING,MISSING,0,4,0,0,774,MISSING,MISSING,0,0,0,10,10,0,1,0
205421,MISSING,0,12,12,0,67250,0,MISSING,0,0,5,22,42,37,1,MISSING,0,4,0,0,774,MISSING,MISSING,0,0,0,10,0,0,1,1
1327693,0,0,13,12,0,45000,1,MISSING,0,1,25,54,69,44,MISSING,0,MISSING,4,0,0,773,MISSING,MISSING,0,1,1,12,10,2,2,0
4602424,MISSING,0,12,11,2,112250,0,MISSING,0,1,0,21,42,42,0,MISSING,0,0,0,0,736,MISSING,MISSING,0,1,1,0,12,3,1,MISSING
657761,MISSING,0,13,13,2,112250,0,MISSING,0,0,1,20,76,77,MISSING,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,0,2,0,0,0,MISSING,MISSING
3288345,OTHER,MISSING,20,,MISSING,45000,MISSING,MISSING,5,MISSING,,,34,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,12,MISSING,4,MISSING,MISSING
628841,MISSING,0,12,14,2,32250,0,MISSING,0,0,1,16,84,85,MISSING,MISSING,1,3,0,2,846,MISSING,MISSING,0,0,4,0,0,0,MISSING,MISSING
4403543,0,0,10,12,0,22250,0,MISSING,0,0,8,48,54,46,1,0,MISSING,3,0,0,755,MISSING,MISSING,0,1,1,0,0,2,MISSING,MISSING
2523563,OTHER,MISSING,14,,MISSING,27250,MISSING,MISSING,0,MISSING,,,56,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,1,MISSING,2,MISSING,MISSING
2290306,MISSING,0,13,14,2,22250,0,MISSING,0,0,2,22,30,32,1,MISSING,0,4,0,0,808,MISSING,MISSING,0,1,3,11,11,5,3,1
240325,OTHER,MISSING,17,,MISSING,137250,MISSING,MISSING,0,MISSING,,,32,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,12,MISSING,4,MISSING,MISSING
4046215,OTHER,MISSING,12,,MISSING,17250,MISSING,MISSING,1,MISSING,,,21,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,8,MISSING,4,MISSING,MISSING
2514683,0,0,12,16,0,45000,0,MISSING,0,0,14,49,68,82,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,0,4,1,1,2,MISSING,MISSING
1217341,MISSING,0,13,13,0,22250,0,MISSING,0,0,2,24,34,32,0,MISSING,0,2,0,0,775,MISSING,MISSING,0,0,4,1,1,0,1,MISSING
2135265,OTHER,MISSING,16,,MISSING,92250,MISSING,MISSING,0,MISSING,,,26,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,12,MISSING,4,MISSING,MISSING
3818605,OTHER,MISSING,13,,MISSING,45000,MISSING,MISSING,1,MISSING,,,60,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,0,MISSING,4,MISSING,MISSING
2099831,MISSING,0,12,10,0,37250,0,MISSING,0,0,5,27,83,78,MISSING,MISSING,MISSING,4,MISSING,MISSING,,MISSING,MISSING,0,1,1,2,2,0,MISSING,MISSING
998391,MISSING,0,13,16,0,92250,0,MISSING,5,5,6,30,39,33,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,1,1,2,2,0,MISSING,MISSING
1580691,MISSING,0,12,14,1,67250,0,MISSING,0,0,8,50,69,61,MISSING,MISSING,0,4,0,0,774,MISSING,MISSING,0,1,2,1,1,0,1,0
1129655,OTHER,MISSING,17,,MISSING,112250,MISSING,MISSING,0,MISSING,,,65,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,0,MISSING,1,MISSING,4,MISSING,MISSING
2611571,MISSING,0,12,12,2,55000,0,MISSING,0,2,10,29,57,47,MISSING,MISSING,0,4,0,0,772,MISSING,MISSING,0,0,0,12,8,0,2,0
3358441,MISSING,0,12,13,2,6250,0,MISSING,0,0,6,37,44,50,MISSING,MISSING,0,4,0,0,769,MISSING,MISSING,0,0,1,1,12,0,2,1
3805265,0,0,16,16,2,200000,0,MISSING,0,0,2,24,26,28,1,0,MISSING,3,0,0,839,MISSING,MISSING,0,0,0,1,1,4,1,1
4425361,MISSING,0,12,13,2,6250,0,MISSING,0,0,4,24,36,32,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,0,1,1,1,0,MISSING,MISSING
4291361,MISSING,0,13,12,2,17250,0,MISSING,0,0,3,19,36,39,1,MISSING,MISSING,3,0,MISSING,,MISSING,MISSING,0,0,0,2,2,0,MISSING,MISSING
2130225,0,0,13,13,0,37250,0,MISSING,0,0,0,21,22,22,1,0,MISSING,4,0,0,774,MISSING,MISSING,0,0,0,2,2,4,1,1
1528583,OTHER,MISSING,16,,MISSING,8750,MISSING,MISSING,0,MISSING,,,58,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,12,MISSING,2,MISSING,MISSING
1142643,OTHER,MISSING,12,,MISSING,27250,MISSING,MISSING,0,MISSING,,,64,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,2,MISSING,2,MISSING,2,MISSING,MISSING
349425,OTHER,MISSING,16,,MISSING,22250,MISSING,MISSING,1,MISSING,,,42,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,,MISSING,MISSING,,1,MISSING,2,MISSING,4,MISSING,MISSING
3977691,MISSING,0,11,13,1,45000,0,MISSING,5,0,19,36,69,50,1,MISSING,MISSING,4,0,MISSING,,MISSING,MISSING,0,1,0,10,10,0,MISSING,MISSING
2161732,MISSING,OTHER,12,7.5,0,32250,0,MISSING,0,0,4,18,73,69,MISSING,MISSING,MISSING,2,MISSING,MISSING,,MISSING,MISSING,0,1,1,2,2,1,MISSING,MISSING
